1100,1000,0000,0001,0011,0111,1111,1110,1101,1010,0100,0010,0101,1011,1001,0110,label
18958,16503,5987,16503,18874,15276,16827,15276,14419,10534,15544,15628,10618,14503,17999,18100,1
19002,16544,6002,16544,18871,15259,16860,15259,14382,10498,15523,15654,10629,14513,17981,18124,1
19003,16501,6003,16501,18898,15288,16883,15288,14381,10496,15530,15635,10601,14486,18032,18095,1
11626,10100,3700,10100,11532,9397,10374,9397,8824,6404,9477,9571,6498,8918,11003,11052,0
11635,10102,3692,10102,11536,9398,10371,9398,8829,6421,9472,9571,6520,8928,11005,11065,0
11641,10110,3701,10110,11536,9343,10328,9343,8788,6427,9476,9581,6532,8893,11007,11085,0
11644,10111,3702,10111,11532,9377,10376,9377,8801,6405,9457,9569,6517,8913,10990,11067,0
11635,10106,3697,10106,11546,9379,10341,9379,8820,6424,9483,9572,6513,8909,11012,11075,0
11614,10099,3706,10099,11521,9366,10347,9366,8805,6421,9487,9580,6514,8898,11002,11052,0
11637,10098,3686,10098,11537,9368,10332,9368,8807,6412,9491,9591,6512,8907,11030,11075,0
11635,10104,3706,10104,11548,9393,10310,9393,8827,6416,9478,9565,6503,8914,11009,11068,0
11654,10116,3702,10116,11552,9387,10312,9387,8847,6406,9468,9570,6508,8949,11006,11113,0
11616,10120,3696,10120,11526,9339,10341,9339,8810,6446,9488,9578,6536,8900,10984,11086,0
11660,10093,3693,10093,11546,9372,10331,9372,8806,6372,9461,9575,6486,8920,11028,11093,0
11640,10114,3700,10114,11534,9382,10388,9382,8807,6395,9461,9567,6501,8913,10987,11064,0
11654,10122,3719,10122,11553,9362,10350,9362,8793,6380,9472,9573,6481,8894,11004,11084,0
18958,16496,5998,16496,18876,15303,16888,15303,14430,10556,15529,15611,10638,14512,17991,18084,1
18945,16525,6010,16525,18862,15246,16834,15246,14406,10562,15565,15648,10645,14489,17985,18104,1
18949,16500,5991,16500,18870,15286,16790,15286,14425,10540,15574,15653,10619,14504,18023,18087,1
11663,10104,3691,10104,11562,9377,10315,9377,8832,6416,9467,9568,6517,8933,11026,11117,0
11622,10099,3700,10099,11532,9363,10349,9363,8832,6437,9483,9573,6527,8922,11006,11090,0
18951,16531,5997,16531,18885,15281,16879,15281,14420,10553,15576,15642,10619,14486,17996,18089,1
19017,16480,6022,16480,18904,15296,16843,15296,14401,10519,15522,15635,10632,14514,18059,18121,1
11658,10091,3703,10091,11569,9398,10323,9398,8831,6412,9476,9565,6501,8920,11043,11090,0
18963,16516,5997,16516,18880,15291,16848,15291,14429,10536,15555,15638,10619,14512,18002,18100,1
18982,16501,6004,16501,18875,15315,16900,15315,14382,10524,15546,15653,10631,14489,18027,18048,1
18991,16502,6007,16502,18896,15282,16862,15282,14396,10508,15545,15640,10603,14491,18034,18104,1
