LMS.exe_num_handles,LMS.exe_paged_pool,LMS.exe_pagefile,LMS.exe_peak_paged_pool,LMS.exe_peak_pagefile,LMS.exe_peak_wset,LMS.exe_user,OfficeClickToRun.exe_paged_pool,OfficeClickToRun.exe_peak_nonpaged_pool,SecurityHealthService.exe_num_handles,SecurityHealthService.exe_paged_pool,SecurityHealthService.exe_pagefile,SecurityHealthService.exe_peak_nonpaged_pool,SecurityHealthService.exe_peak_pagefile,SecurityHealthService.exe_peak_wset,SecurityHealthService.exe_read_bytes,SecurityHealthService.exe_read_count,SecurityHealthService.exe_user,SecurityHealthService.exe_write_bytes,SecurityHealthService.exe_write_count,SecurityHealthSystray.exe_ionice,SecurityHealthSystray.exe_nonpaged_pool,SecurityHealthSystray.exe_num_handles,SecurityHealthSystray.exe_paged_pool,SecurityHealthSystray.exe_pagefile,SecurityHealthSystray.exe_peak_pagefile,SecurityHealthSystray.exe_peak_wset,SecurityHealthSystray.exe_rss,SecurityHealthSystray.exe_system,SecurityHealthSystray.exe_user,SgrmBroker.exe_num_handles,SgrmBroker.exe_peak_paged_pool,SgrmBroker.exe_peak_pagefile,SgrmBroker.exe_peak_wset,ShellExperienceHost.exe_ionice,ShellExperienceHost.exe_num_handles,ShellExperienceHost.exe_paged_pool,ShellExperienceHost.exe_pagefile,ShellExperienceHost.exe_peak_pagefile,ShellExperienceHost.exe_peak_wset,ShellExperienceHost.exe_system,ShellExperienceHost.exe_user,StartMenuExperienceHost.exe_peak_nonpaged_pool,calc.exe_nice,calc.exe_num_handles,ctfmon.exe_ionice,ctfmon.exe_num_handles,ctfmon.exe_paged_pool,ctfmon.exe_pagefile,ctfmon.exe_peak_nonpaged_pool,ctfmon.exe_peak_pagefile,ctfmon.exe_peak_wset,ctfmon.exe_rss,explorer.exe_peak_wset,lsass.exe_connections_info,lsass.exe_num_handles,lsass.exe_paged_pool,lsass.exe_pagefile,lsass.exe_peak_nonpaged_pool,lsass.exe_peak_paged_pool,lsass.exe_peak_pagefile,lsass.exe_peak_wset,mimikatz.exe_peak_nonpaged_pool,mshta.exe_other_count,msiexec.exe_connections_info,powershell.exe_connections_info,powershell.exe_ionice,powershell.exe_nice,powershell.exe_num_handles,powershell.exe_num_page_faults,powershell.exe_other_count,powershell.exe_paged_pool,powershell.exe_pagefile,powershell.exe_peak_nonpaged_pool,powershell.exe_peak_pagefile,powershell.exe_peak_wset,powershell.exe_private,powershell.exe_read_bytes,powershell.exe_read_count,powershell.exe_rss,powershell.exe_system,powershell.exe_user,powershell.exe_vms,powershell.exe_write_bytes,powershell.exe_write_count,powershell.exe_wset,python.exe_connections_info,regsvr32.exe_num_handles,ruby.exe_connections_info,ruby.exe_num_handles,ruby.exe_paged_pool,ruby.exe_pagefile,ruby.exe_peak_nonpaged_pool,ruby.exe_peak_paged_pool,ruby.exe_peak_pagefile,ruby.exe_peak_wset,rundll32.exe_num_handles,services.exe_connections_info,services.exe_memory_percent,services.exe_nonpaged_pool,services.exe_num_handles,services.exe_paged_pool,services.exe_pagefile,services.exe_peak_nonpaged_pool,services.exe_peak_pagefile,services.exe_peak_wset,sihost.exe_ionice,sihost.exe_num_handles,sihost.exe_paged_pool,sihost.exe_pagefile,sihost.exe_peak_nonpaged_pool,sihost.exe_peak_pagefile,sihost.exe_peak_wset,smss.exe_pagefile,smss.exe_peak_pagefile,smss.exe_peak_wset,smss.exe_rss,smss.exe_system,spoolsv.exe_connections_info,spoolsv.exe_num_handles,spoolsv.exe_paged_pool,spoolsv.exe_pagefile,spoolsv.exe_peak_nonpaged_pool,spoolsv.exe_peak_pagefile,spoolsv.exe_peak_wset,spoolsv.exe_system,spoolsv.exe_user,suspecious_name_cnt,taskhostw.exe_ionice,taskhostw.exe_num_handles,taskhostw.exe_paged_pool,taskhostw.exe_peak_wset,wininit.exe_connections_info,wininit.exe_num_handles,wininit.exe_paged_pool,wininit.exe_pagefile,wininit.exe_peak_nonpaged_pool,wininit.exe_peak_pagefile,wininit.exe_peak_wset,wininit.exe_rss,wininit.exe_system,wininit.exe_user,winlogon.exe_num_handles,winlogon.exe_paged_pool,winlogon.exe_pagefile,winlogon.exe_peak_nonpaged_pool,winlogon.exe_peak_pagefile,winlogon.exe_peak_wset,winlogon.exe_system,winlogon.exe_user,date_time
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,9051,1019184,55631872,186,0,0,143400,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,972624,34897920,96,0,65808,0,3285,1466480,60231680,115,0,184420,6537216,0,7752,7397376,0.0,0,2285,702240,28897280,170,0,82240,0.0,0,0,0,1680,1055840,114780,0,984,462720,8724480,84,0,43824,42835968,0.0,0,1644,877968,17448960,84,0,160392,0.0,0,2022-09-21 11:21:46-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7550,849320,46694400,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3280,1466480,60231680,115,0,184420,5447680,0,6460,6164480,-1718750.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1680,1055840,114780,0,820,385600,7270400,70,0,36520,35696640,-468750.0,0,1370,731640,14540800,70,0,133660,-4531250.0,0,2022-09-21 11:21:47-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7554,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3277,1466480,60231680,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1680,1055840,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:49-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7560,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3275,1466480,60231680,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1680,1055840,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:51-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7558,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3275,1466480,60231680,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1680,1055840,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:53-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7550,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3255,1460336,60043264,115,0,184420,5447680,0,6460,6164480,0.0,0,2748,842688,34676736,204,0,98688,1250000.0,0,0,0,1680,1055840,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:55-07:00
1410,539184,17891328,0,0,60528,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7550,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3225,1451120,59760640,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,-1250000.0,0,0,0,1664,1049696,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:57-07:00
1175,449320,14909440,0,0,50440,0,1824192,336,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2735,1126920,31027200,90,0,124380,124067840,1389520,0,7550,849320,46899200,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29081600,80,0,54840,0,3225,1451120,59760640,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1660,1048160,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:21:59-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2739,1126984,31027200,90,0,124380,124100608,1389520,0,7601,849320,46919680,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29356032,80,0,54840,0,3950,1756864,72265728,138,0,221304,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,2007,1257792,137736,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:22:02-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,252,0,0,0,3342,1412360,37814272,108,0,150624,151625728,1667424,0,7613,849320,46821376,155,0,0,119500,0,0.0,0,0,0,0,0,404,2.0,21184,442368,7,0,1516,0,58149,1.0,1548288,0.0,0,2199028838400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,810520,29429760,80,0,54840,0,3309,1469712,60313600,115,0,184420,5447680,0,6460,6164480,0.0,0,2290,702240,28897280,170,0,82240,0.0,0,0,0,1677,1051232,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:22:04-07:00
